game_id,arena_capacity,actual_attendance,capacity_pct,expected_attendance_baseline,attendance_variance,attendance_tier
1,19621,17097,87.14,17044,53,Medium
2,19621,19012,96.9,18449,563,Sellout
3,19621,19087,97.28,18434,653,Sellout
4,19621,17698,90.2,19271,-1573,High
5,19621,19621,100.0,19174,447,Sellout
6,19621,17339,88.37,17125,214,High
7,19621,16330,83.23,16781,-451,Medium
8,19621,18574,94.66,17998,576,High
9,19621,16967,86.47,17792,-825,Medium
10,19621,17490,89.14,18278,-788,High
11,19621,18451,94.04,17620,831,High
12,19621,18733,95.47,18681,52,Sellout
13,19621,19621,100.0,18517,1104,Sellout
14,19621,17773,90.58,18311,-538,High
15,19621,17484,89.11,17255,229,High
16,19621,17535,89.37,17231,304,High
17,19621,16007,81.58,15689,318,Medium
18,19621,19621,100.0,19593,28,Sellout
19,19621,19621,100.0,19310,311,Sellout
20,19621,16752,85.38,16737,15,Medium
21,19621,15735,80.19,17259,-1524,Medium
22,19621,19621,100.0,19621,0,Sellout
23,19621,16376,83.46,18239,-1863,Medium
24,19621,18839,96.01,19621,-782,Sellout
25,19621,18255,93.04,18808,-553,High
26,19621,17151,87.41,16442,709,Medium
27,19621,16411,83.64,16586,-175,Medium
28,19621,19621,100.0,18756,865,Sellout
29,19621,16234,82.74,17322,-1088,Medium
30,19621,15559,79.3,16422,-863,Medium
31,19621,14963,76.26,16729,-1766,Medium
32,19621,18333,93.44,19233,-900,High
33,19621,17174,87.53,17671,-497,Medium
34,19621,19621,100.0,19226,395,Sellout
35,19621,18176,92.64,17355,821,High
36,19621,18619,94.89,18432,187,High
37,19621,16178,82.45,16422,-244,Medium
38,19621,19252,98.12,18652,600,Sellout
39,19621,19621,100.0,18847,774,Sellout
40,19621,16222,82.68,16729,-507,Medium
41,19621,16896,86.11,17325,-429,Medium
42,19156,19156,100.0,19156,0,Sellout
43,19156,17735,92.58,19064,-1329,High
44,19156,19156,100.0,19156,0,Sellout
45,19156,18515,96.65,18962,-447,Sellout
46,19156,16914,88.3,17135,-221,High
47,19156,18552,96.85,17436,1116,Sellout
48,19156,19125,99.84,19156,-31,Sellout
49,19156,19094,99.68,18124,970,Sellout
50,19156,16515,86.21,17854,-1339,Medium
51,19156,18193,94.97,17763,430,High
52,19156,18672,97.47,19013,-341,Sellout
53,19156,16659,86.96,17869,-1210,Medium
54,19156,17560,91.67,18430,-870,High
55,19156,18064,94.3,17957,107,High
56,19156,16619,86.76,17354,-735,Medium
57,19156,19082,99.61,18789,293,Sellout
58,19156,18748,97.87,19156,-408,Sellout
59,19156,16629,86.81,17870,-1241,Medium
60,19156,18487,96.51,17744,743,Sellout
61,19156,18665,97.44,18440,225,Sellout
62,19156,18157,94.78,19156,-999,High
63,19156,19156,100.0,19156,0,Sellout
64,19156,17504,91.38,17410,94,High
65,19156,17490,91.3,17820,-330,High
66,19156,17272,90.16,17572,-300,High
67,19156,19156,100.0,18398,758,Sellout
68,19156,19156,100.0,19156,0,Sellout
69,19156,18967,99.01,17903,1064,Sellout
70,19156,18216,95.09,17851,365,Sellout
71,19156,19156,100.0,19156,0,Sellout
72,19156,18958,98.97,19156,-198,Sellout
73,19156,19156,100.0,19151,5,Sellout
74,19156,19156,100.0,18764,392,Sellout
75,19156,18922,98.78,18860,62,Sellout
76,19156,19156,100.0,18489,667,Sellout
