fan_id,age_group,household_type,distance_from_arena_bucket,preferred_ticket_segment,loyalty_status,games_attended_last_12_months,avg_ticket_spend,avg_concession_spend,avg_merchandise_spend,promotion_usage_rate,email_engagement_score,fan_value_score
1,18-24,Couple,5-15 miles,Family Pack,Premium Member,29,244.95,29.47,77.05,0.1636,0.6901,0.6855
2,25-34,Couple,5-15 miles,Student Promo,New Fan,2,79.02,32.45,33.45,0.2543,0.2703,0.3064
3,35-44,Single,<5 miles,Corporate Partner Allocation,Repeat Buyer,10,113.54,19.01,17.29,0.2145,0.7435,0.3465
4,35-44,Single,15-30 miles,Club Level,Casual Fan,3,58.29,24.11,36.82,0.3218,0.6479,0.3081
5,35-44,Single,5-15 miles,Family Pack,Casual Fan,2,61.08,17.15,52.4,0.5726,0.2479,0.2588
6,35-44,Couple,5-15 miles,Club Level,Casual Fan,3,88.03,9.93,18.43,0.2884,0.0583,0.1922
7,55-64,Empty Nester,60+ miles,Group Sales,Repeat Buyer,12,165.97,23.34,32.16,0.2756,0.5961,0.4215
8,25-34,Family with Kids,<5 miles,Student Promo,Casual Fan,4,78.72,12.33,37.66,0.1157,0.3435,0.271
9,45-54,Couple,60+ miles,Club Level,Casual Fan,6,94.05,10.7,18.8,0.0931,0.3905,0.2577
10,25-34,Family with Kids,60+ miles,Group Sales,Season Ticket Holder,37,250.76,43.18,45.35,0.237,0.6209,0.7047
11,55-64,Couple,15-30 miles,Group Sales,Corporate Guest,9,303.44,9.83,74.73,0.1797,0.5102,0.5448
12,18-24,Single,15-30 miles,Season Ticket,Repeat Buyer,14,139.55,30.87,42.89,0.4965,0.472,0.4325
13,18-24,Couple,15-30 miles,Student Promo,Casual Fan,6,70.05,15.29,32.91,0.2233,0.3698,0.2722
14,25-34,Family with Kids,15-30 miles,Family Pack,Repeat Buyer,7,152.75,8.67,48.94,0.1757,0.4118,0.356
15,25-34,Single,<5 miles,Corporate Partner Allocation,Casual Fan,8,108.93,11.5,69.14,0.3865,0.3854,0.3609
16,25-34,Corporate,5-15 miles,Premium Courtside,Casual Fan,6,110.48,27.16,31.83,0.4492,0.3247,0.3254
17,35-44,Couple,5-15 miles,Group Sales,Corporate Guest,12,261.66,24.62,32.69,0.2172,0.3006,0.4746
