game_id,season,game_date,home_team_id,away_team_id,home_team_name,away_team_name,home_team_abbr,away_team_abbr,day_of_week,month,is_weekend,is_holiday_period,rivalry_flag,nationally_televised_flag,home_team_win_pct_entering_game,away_team_win_pct_entering_game,home_team_recent_form,away_team_recent_form,home_score,away_score,home_win_flag,actual_attendance,attendance_tier,temperature_f,precipitation_flag,snow_flag,severe_weather_flag,weather_condition,promotion_flag,promotion_type,expected_promotion_lift_pct,promotion_cost,sponsor_value_estimate,sponsor_category,total_net_ticket_revenue,total_concession_revenue,total_merchandise_revenue,away_team_popularity,home_team_popularity,arena_capacity_feat,dow_ordinal,total_game_day_revenue,rolling_att_3,rolling_att_5,rolling_rev_3,rolling_rev_5,planned_avg_base_price
1,2019,2019-10-15,1,21,Atlanta Flyers,Oklahoma City Outlaws,ATL,OKC,Tuesday,10,0,0,0,0,0.4577,0.3523,0.5,0.5,109,108,1,17097,Medium,69.5,0,0,0,Clear,1,Corporate Partner Night,2.2,4828.77,37464.01,Beverage,2144614.09,1102990.7,437195.66000000003,0.67,0.72,19621,1,3684800.45,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,184.32586666666666
159,2019,2019-10-15,4,2,Charlotte Crowns,Boston Harbors,CHA,BOS,Tuesday,10,0,0,0,1,0.3371,0.5598,0.2,0.6,97,113,0,17218,High,31.2,0,0,0,Clear,1,Community Night,5.06,7787.9,69321.88,Beverage,2207714.6399999997,1152659.9100000001,466335.07,0.91,0.61,19077,1,3826709.6199999996,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,199.05293333333333
633,2019,2019-10-15,16,24,Miami Storm,Phoenix Firebirds,MIA,PHX,Tuesday,10,0,0,0,1,0.4774,0.5354,0.6,0.6,95,96,0,15724,Medium,32.5,1,1,0,Snow,0,None,0.0,0.0,0.0,,1931945.7,980288.4299999999,413405.39999999997,0.86,0.84,19600,1,3325639.53,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,203.73573333333334
791,2019,2019-10-15,20,19,New York Empire,New Orleans Crescents,NYE,NOR,Tuesday,10,0,0,0,1,0.4467,0.3828,0.6,0.6,119,120,0,18895,Sellout,55.0,0,0,0,Clear,0,None,0.0,0.0,0.0,,2432465.81,1214034.69,517326.87,0.59,0.88,19812,1,4163827.37,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,204.55013333333332
949,2019,2019-10-15,24,5,Phoenix Firebirds,Chicago Cyclones,PHX,CHI,Tuesday,10,0,0,0,1,0.5354,0.4117,0.8,0.2,118,126,0,15938,High,41.7,0,0,0,Clear,1,Student Discount,4.47,3962.42,68391.79,Tech,2030381.9100000001,1028088.51,432974.3,0.83,0.86,17125,1,3491444.7199999997,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,204.14293333333333
317,2019,2019-10-15,8,6,Denver Peaks,Cleveland Comets,DEN,CLE,Tuesday,10,0,0,0,0,0.4047,0.4111,0.6,0.8,111,126,0,17288,High,46.9,0,0,0,Clear,0,None,0.0,0.0,0.0,,2147859.08,1089873.81,444834.26,0.74,0.69,19520,1,3682567.1500000004,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,183.71506666666664
1107,2019,2019-10-15,27,12,San Antonio Legends,Indianapolis Racers,SAT,IND,Tuesday,10,0,0,0,0,0.4034,0.4468,0.8,0.4,114,115,0,15325,Medium,15.4,0,0,0,Clear,0,None,0.0,0.0,0.0,,1925045.25,962878.1000000001,398823.22000000003,0.65,0.75,18418,1,3286746.5700000003,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,184.93666666666667
475,2019,2019-10-15,12,28,Indianapolis Racers,Toronto Towers,IND,TOR,Tuesday,10,0,0,0,0,0.4468,0.3985,0.4,0.4,102,101,1,15711,Medium,64.5,0,0,0,Clear,1,Family Night,5.6,8000.44,48072.45,Financial,2011502.73,1043503.22,421763.73,0.79,0.65,17923,1,3476769.68,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,182.90066666666667
94,2019,2019-10-16,3,19,Brooklyn Bridgers,New Orleans Crescents,BKN,NOR,Wednesday,10,0,0,0,0,0.4405,0.3828,0.6,0.0,123,122,1,14955,Medium,38.1,0,0,0,Clear,0,None,0.0,0.0,0.0,,1901917.08,935653.21,394556.98,0.59,0.78,17732,2,3232127.27,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,185.54746666666665
252,2019,2019-10-16,7,18,Dallas Wranglers,Minneapolis Northstars,DAL,MIN,Wednesday,10,0,0,0,0,0.3923,0.2567,0.2,0.2,121,111,1,15573,Medium,40.4,0,0,0,Clear,0,None,0.0,0.0,0.0,,1973538.43,978696.1000000001,401232.06,0.6,0.76,19200,2,3353466.5900000003,17401.719024390244,17401.719024390244,3847971.252063415,3847971.252063415,185.14026666666663
