game_id,season,game_date,home_team_id,away_team_id,home_team_name,away_team_name,home_team_abbr,away_team_abbr,day_of_week,month,is_weekend,is_holiday_period,rivalry_flag,nationally_televised_flag,home_team_win_pct_entering_game,away_team_win_pct_entering_game,home_team_recent_form,away_team_recent_form,home_score,away_score,home_win_flag
1,2019,2019-10-15,1,21,Atlanta Flyers,Oklahoma City Outlaws,ATL,OKC,Tuesday,10,False,False,False,False,0.4577,0.3523,0.5,0.5,109,108,1
2,2019,2019-11-03,1,14,Atlanta Flyers,Los Angeles Stars,ATL,LAS,Sunday,11,True,False,False,True,0.4577,0.5395,1.0,0.5,106,119,0
3,2019,2019-11-23,1,6,Atlanta Flyers,Cleveland Comets,ATL,CLE,Saturday,11,True,False,False,False,0.4577,0.4111,0.5,0.5,95,104,0
4,2019,2019-12-13,1,22,Atlanta Flyers,Orlando Rays,ATL,ORL,Friday,12,True,True,False,False,0.4577,0.23,0.3333,0.5,103,113,0
5,2019,2020-01-02,1,10,Atlanta Flyers,San Francisco Waves,ATL,GSF,Thursday,1,False,True,False,True,0.4577,0.5413,0.25,0.5,116,114,1
6,2019,2020-01-22,1,19,Atlanta Flyers,New Orleans Crescents,ATL,NOR,Wednesday,1,False,True,False,False,0.4577,0.3828,0.4,0.5,116,115,1
7,2019,2020-02-11,1,28,Atlanta Flyers,Toronto Towers,ATL,TOR,Tuesday,2,False,False,False,False,0.4577,0.3985,0.4,0.5,105,95,1
8,2019,2020-03-01,1,2,Atlanta Flyers,Boston Harbors,ATL,BOS,Sunday,3,True,False,False,True,0.4577,0.5598,0.6,0.5,107,108,0
9,2019,2020-03-21,1,17,Atlanta Flyers,Milwaukee Barons,ATL,MIL,Saturday,3,True,False,False,False,0.4577,0.4297,0.6,0.5,118,117,1
10,2019,2020-04-10,1,29,Atlanta Flyers,Salt Lake Summit,ATL,SLC,Friday,4,True,False,False,False,0.4577,0.289,0.8,0.5,114,115,0
11,2019,2019-10-29,1,5,Atlanta Flyers,Chicago Cyclones,ATL,CHI,Tuesday,10,False,False,False,True,0.4577,0.4117,0.6,0.5,96,89,1
12,2019,2019-11-17,1,20,Atlanta Flyers,New York Empire,ATL,NYE,Sunday,11,True,False,False,True,0.4577,0.4467,0.6,0.5,99,112,0
13,2019,2019-12-07,1,15,Atlanta Flyers,Memphis Blues,ATL,MEM,Saturday,12,True,True,False,False,0.4577,0.3819,0.4,0.5,119,118,1
14,2019,2019-12-27,1,7,Atlanta Flyers,Dallas Wranglers,ATL,DAL,Friday,12,True,True,False,False,0.4577,0.3923,0.6,0.5,99,94,1
15,2019,2020-01-16,1,8,Atlanta Flyers,Denver Peaks,ATL,DEN,Thursday,1,False,True,False,False,0.4577,0.4047,0.6,0.5,105,106,0
