promotion_id,game_id,promotion_flag,promotion_type,promotion_cost,expected_promotion_lift_pct,sponsor_category,sponsor_value_estimate
1,1,True,Corporate Partner Night,4828.77,2.2,Beverage,37464.01
2,2,False,,0.0,0.0,,0.0
3,3,True,Food Voucher,11065.93,5.69,Tech,5724.64
4,4,True,Family Night,7070.95,6.52,Retail,55863.25
5,5,True,Corporate Partner Night,5499.64,3.81,Beverage,13948.15
6,6,False,,0.0,0.0,,0.0
7,7,False,,0.0,0.0,,0.0
8,8,False,,0.0,0.0,,0.0
9,9,False,,0.0,0.0,,0.0
10,10,True,Premium Experience,29993.62,3.62,Financial,59457.16
11,11,False,,0.0,0.0,,0.0
12,12,False,,0.0,0.0,,0.0
13,13,True,Community Night,8527.4,5.92,Retail,73096.09
14,14,False,,0.0,0.0,,0.0
15,15,False,,0.0,0.0,,0.0
16,16,True,Family Night,7764.4,6.99,Healthcare,27468.37
17,17,False,,0.0,0.0,,0.0
18,18,True,Premium Experience,31212.5,4.81,Tech,72010.54
19,19,True,Merchandise Giveaway,23212.73,8.98,Financial,57049.68
20,20,False,,0.0,0.0,,0.0
21,21,True,Corporate Partner Night,4895.39,3.7,Retail,18995.48
22,22,True,Community Night,9634.08,5.88,Beverage,64018.61
23,23,False,,0.0,0.0,,0.0
24,24,True,Theme Night,16774.09,7.65,Tech,31489.42
25,25,True,Theme Night,18406.81,6.5,Beverage,69529.47
26,26,False,,0.0,0.0,,0.0
27,27,False,,0.0,0.0,,0.0
28,28,True,Food Voucher,11517.4,5.0,Financial,67140.35
29,29,True,Student Discount,3296.26,3.17,Tech,71755.99
30,30,False,,0.0,0.0,,0.0
31,31,False,,0.0,0.0,,0.0
32,32,True,Premium Experience,27257.37,4.5,Beverage,60883.96
33,33,False,,0.0,0.0,,0.0
34,34,True,Food Voucher,11585.19,5.45,Retail,16864.65
35,35,True,Student Discount,3496.17,3.19,Healthcare,43382.32
36,36,True,Premium Experience,29295.91,3.88,Retail,45389.55
37,37,False,,0.0,0.0,,0.0
38,38,False,,0.0,0.0,,0.0
39,39,True,Family Night,7083.25,5.03,Retail,70510.2
40,40,False,,0.0,0.0,,0.0
41,41,False,,0.0,0.0,,0.0
42,42,True,Food Voucher,12964.53,4.9,Retail,68351.03
43,43,False,,0.0,0.0,,0.0
44,44,True,Merchandise Giveaway,21392.12,8.7,Auto,53679.67
45,45,False,,0.0,0.0,,0.0
46,46,False,,0.0,0.0,,0.0
47,47,True,Student Discount,3857.18,4.64,Beverage,47931.19
48,48,False,,0.0,0.0,,0.0
49,49,True,Community Night,8303.65,4.25,Healthcare,70196.47
50,50,False,,0.0,0.0,,0.0
51,51,False,,0.0,0.0,,0.0
52,52,False,,0.0,0.0,,0.0
53,53,False,,0.0,0.0,,0.0
54,54,False,,0.0,0.0,,0.0
55,55,True,Corporate Partner Night,5663.87,2.51,Retail,35451.76
56,56,False,,0.0,0.0,,0.0
57,57,True,Corporate Partner Night,5154.59,2.62,Financial,43524.71
58,58,True,Food Voucher,13556.03,4.97,Healthcare,40094.59
59,59,True,Corporate Partner Night,5272.61,2.06,Retail,13256.79
60,60,False,,0.0,0.0,,0.0
61,61,True,Family Night,7761.93,6.39,Tech,28983.85
62,62,False,,0.0,0.0,,0.0
63,63,False,,0.0,0.0,,0.0
64,64,False,,0.0,0.0,,0.0
65,65,True,Corporate Partner Night,4917.3,2.27,Auto,44302.01
66,66,False,,0.0,0.0,,0.0
67,67,False,,0.0,0.0,,0.0
68,68,True,Community Night,8510.03,4.97,Healthcare,46717.21
69,69,False,,0.0,0.0,,0.0
70,70,False,,0.0,0.0,,0.0
71,71,False,,0.0,0.0,,0.0
72,72,True,Theme Night,15754.82,7.57,Tech,20881.93
73,73,False,,0.0,0.0,,0.0
74,74,False,,0.0,0.0,,0.0
75,75,True,Theme Night,17778.71,6.17,Beverage,33886.85
76,76,False,,0.0,0.0,,0.0
77,77,False,,0.0,0.0,,0.0
78,78,False,,0.0,0.0,,0.0
79,79,False,,0.0,0.0,,0.0
80,80,True,Community Night,8994.11,5.85,Beverage,7865.9
81,81,False,,0.0,0.0,,0.0
82,82,False,,0.0,0.0,,0.0
83,83,True,Premium Experience,31664.73,3.62,Beverage,61175.21
84,84,False,,0.0,0.0,,0.0
85,85,False,,0.0,0.0,,0.0
86,86,False,,0.0,0.0,,0.0
87,87,True,Premium Experience,26107.2,3.06,Beverage,59099.43
88,88,True,Theme Night,15762.24,7.55,Tech,11499.1
89,89,True,Food Voucher,12693.28,4.19,Auto,10172.58
90,90,True,Community Night,8316.25,5.17,Tech,30158.21
91,91,False,,0.0,0.0,,0.0
92,92,True,Family Night,7084.11,5.33,Beverage,27704.82
93,93,True,Food Voucher,13256.6,5.43,Auto,29953.76
94,94,False,,0.0,0.0,,0.0
95,95,True,Student Discount,3341.11,3.54,Retail,32357.0
96,96,True,Family Night,8350.92,6.79,Retail,71571.84
97,97,False,,0.0,0.0,,0.0
98,98,True,Student Discount,3396.7,4.25,Financial,58780.8
99,99,True,Family Night,8370.47,5.74,Retail,52649.97
100,100,False,,0.0,0.0,,0.0
101,101,False,,0.0,0.0,,0.0
102,102,False,,0.0,0.0,,0.0
103,103,False,,0.0,0.0,,0.0
104,104,True,Food Voucher,10444.5,5.82,Financial,8131.13
105,105,True,Food Voucher,13417.48,5.42,Auto,21945.35
106,106,True,Theme Night,19080.45,7.66,Retail,36245.74
107,107,False,,0.0,0.0,,0.0
108,108,True,Premium Experience,32133.2,3.48,Beverage,22773.79
109,109,False,,0.0,0.0,,0.0
110,110,False,,0.0,0.0,,0.0
111,111,False,,0.0,0.0,,0.0
112,112,False,,0.0,0.0,,0.0
113,113,False,,0.0,0.0,,0.0
114,114,False,,0.0,0.0,,0.0
115,115,True,Merchandise Giveaway,24735.93,9.35,Healthcare,6209.58
116,116,True,Merchandise Giveaway,24037.92,8.23,Healthcare,47284.41
117,117,False,,0.0,0.0,,0.0
118,118,False,,0.0,0.0,,0.0
119,119,True,Theme Night,17286.22,6.69,Tech,36539.09
120,120,True,Merchandise Giveaway,24988.61,9.43,Auto,11176.41
121,121,True,Merchandise Giveaway,23077.55,9.2,Financial,73771.79
122,122,True,Theme Night,18531.32,6.73,Beverage,17458.88
123,123,True,Food Voucher,10909.97,4.97,Financial,61700.75
124,124,False,,0.0,0.0,,0.0
125,125,False,,0.0,0.0,,0.0
126,126,True,Premium Experience,31859.65,3.23,Retail,10889.91
127,127,False,,0.0,0.0,,0.0
128,128,False,,0.0,0.0,,0.0
129,129,True,Corporate Partner Night,4910.91,2.91,Healthcare,70993.17
130,130,False,,0.0,0.0,,0.0
131,131,True,Food Voucher,12109.55,4.97,Beverage,13722.19
132,132,False,,0.0,0.0,,0.0
133,133,False,,0.0,0.0,,0.0
134,134,True,Merchandise Giveaway,21736.57,9.92,Beverage,57369.14
135,135,False,,0.0,0.0,,0.0
136,136,False,,0.0,0.0,,0.0
137,137,False,,0.0,0.0,,0.0
138,138,False,,0.0,0.0,,0.0
139,139,False,,0.0,0.0,,0.0
140,140,False,,0.0,0.0,,0.0
141,141,True,Merchandise Giveaway,22901.25,8.11,Tech,11721.64
142,142,True,Corporate Partner Night,4869.36,3.0,Tech,40019.7
143,143,True,Community Night,9541.86,5.38,Auto,7397.56
144,144,False,,0.0,0.0,,0.0
145,145,True,Theme Night,20493.12,7.7,Auto,67591.94
146,146,True,Premium Experience,27719.96,4.09,Tech,54460.93
147,147,False,,0.0,0.0,,0.0
148,148,True,Premium Experience,33456.13,4.45,Retail,23036.03
149,149,True,Student Discount,3016.01,3.57,Healthcare,10136.93
150,150,True,Food Voucher,10600.7,5.75,Tech,11775.97
151,151,True,Merchandise Giveaway,22542.0,8.64,Tech,54915.88
152,152,True,Corporate Partner Night,4929.76,2.23,Financial,72631.07
153,153,False,,0.0,0.0,,0.0
154,154,False,,0.0,0.0,,0.0
155,155,True,Theme Night,19572.78,7.86,Financial,23366.12
156,156,True,Family Night,8558.67,5.52,Tech,72455.92
157,157,True,Family Night,8903.14,5.34,Auto,40094.07
158,158,True,Premium Experience,30418.31,4.56,Tech,40089.44
159,159,True,Community Night,7787.9,5.06,Beverage,69321.88
160,160,False,,0.0,0.0,,0.0
161,161,True,Family Night,7352.33,5.34,Retail,65083.26
162,162,True,Premium Experience,32232.36,3.31,Retail,13534.7
163,163,True,Food Voucher,11723.57,4.42,Tech,20227.13
164,164,True,Corporate Partner Night,4908.42,2.07,Beverage,66119.44
165,165,False,,0.0,0.0,,0.0
166,166,True,Student Discount,3243.93,3.79,Tech,66470.77
167,167,True,Food Voucher,10980.84,4.89,Tech,42311.49
168,168,True,Theme Night,17913.92,6.82,Beverage,69469.68
169,169,False,,0.0,0.0,,0.0
170,170,True,Premium Experience,34126.28,3.91,Retail,49519.13
171,171,True,Food Voucher,11145.38,4.16,Beverage,39075.36
172,172,False,,0.0,0.0,,0.0
173,173,True,Community Night,9818.4,4.06,Retail,61979.15
174,174,False,,0.0,0.0,,0.0
175,175,True,Community Night,10000.21,5.67,Financial,24229.66
176,176,False,,0.0,0.0,,0.0
177,177,False,,0.0,0.0,,0.0
178,178,True,Community Night,9051.77,4.73,Beverage,35186.66
179,179,True,Premium Experience,27931.13,3.0,Tech,59600.77
180,180,False,,0.0,0.0,,0.0
181,181,True,Corporate Partner Night,4785.39,3.58,Beverage,47578.62
182,182,False,,0.0,0.0,,0.0
183,183,False,,0.0,0.0,,0.0
184,184,True,Merchandise Giveaway,19187.73,8.11,Healthcare,28168.27
185,185,True,Merchandise Giveaway,18861.29,9.96,Beverage,19846.58
186,186,False,,0.0,0.0,,0.0
187,187,True,Community Night,8632.2,4.41,Financial,62961.5
188,188,True,Food Voucher,12004.43,5.32,Tech,74818.1
189,189,True,Family Night,9137.78,7.0,Financial,59665.29
190,190,False,,0.0,0.0,,0.0
191,191,True,Family Night,8781.78,5.75,Tech,42463.53
192,192,False,,0.0,0.0,,0.0
193,193,False,,0.0,0.0,,0.0
194,194,True,Merchandise Giveaway,21852.27,9.4,Beverage,31812.76
195,195,False,,0.0,0.0,,0.0
196,196,True,Food Voucher,10667.79,5.64,Auto,41264.21
197,197,False,,0.0,0.0,,0.0
198,198,True,Premium Experience,31688.71,3.37,Beverage,60989.66
199,199,True,Premium Experience,29832.96,4.07,Auto,56424.22
200,200,False,,0.0,0.0,,0.0
201,201,False,,0.0,0.0,,0.0
202,202,True,Theme Night,18215.08,7.8,Auto,72555.98
203,203,False,,0.0,0.0,,0.0
204,204,True,Premium Experience,32524.23,4.56,Beverage,5562.69
205,205,False,,0.0,0.0,,0.0
206,206,True,Food Voucher,10453.87,4.46,Retail,42980.21
207,207,False,,0.0,0.0,,0.0
208,208,False,,0.0,0.0,,0.0
209,209,True,Student Discount,3448.95,3.04,Healthcare,33386.33
210,210,True,Student Discount,3548.64,3.47,Beverage,18326.48
211,211,False,,0.0,0.0,,0.0
212,212,True,Merchandise Giveaway,23407.93,8.47,Tech,14306.05
213,213,True,Community Night,8063.92,4.38,Healthcare,39973.2
214,214,True,Community Night,10301.49,4.08,Tech,60040.33
215,215,True,Merchandise Giveaway,23553.9,9.24,Auto,49180.79
216,216,False,,0.0,0.0,,0.0
217,217,True,Premium Experience,30430.96,3.27,Retail,72315.41
218,218,False,,0.0,0.0,,0.0
219,219,True,Food Voucher,13687.63,4.51,Tech,26323.18
220,220,False,,0.0,0.0,,0.0
221,221,True,Corporate Partner Night,5680.59,2.47,Beverage,53588.43
222,222,True,Food Voucher,10992.25,5.6,Auto,72662.0
223,223,True,Corporate Partner Night,5323.67,3.99,Healthcare,30413.13
224,224,False,,0.0,0.0,,0.0
225,225,True,Community Night,9594.94,5.37,Tech,25188.0
226,226,False,,0.0,0.0,,0.0
227,227,False,,0.0,0.0,,0.0
228,228,True,Merchandise Giveaway,22869.68,9.52,Healthcare,10883.8
229,229,True,Theme Night,15906.18,7.99,Auto,49288.21
230,230,False,,0.0,0.0,,0.0
231,231,False,,0.0,0.0,,0.0
232,232,True,Corporate Partner Night,4809.56,3.6,Tech,58164.29
233,233,False,,0.0,0.0,,0.0
234,234,False,,0.0,0.0,,0.0
235,235,True,Community Night,9311.5,4.23,Beverage,35135.88
236,236,False,,0.0,0.0,,0.0
237,237,True,Community Night,10115.59,4.71,Tech,38089.66
238,238,False,,0.0,0.0,,0.0
239,239,False,,0.0,0.0,,0.0
240,240,False,,0.0,0.0,,0.0
241,241,False,,0.0,0.0,,0.0
242,242,False,,0.0,0.0,,0.0
243,243,True,Corporate Partner Night,5153.96,2.03,Retail,41399.27
244,244,False,,0.0,0.0,,0.0
245,245,False,,0.0,0.0,,0.0
246,246,False,,0.0,0.0,,0.0
247,247,True,Community Night,8674.11,5.92,Beverage,34321.69
248,248,False,,0.0,0.0,,0.0
249,249,False,,0.0,0.0,,0.0
250,250,True,Theme Night,16033.77,7.17,Financial,61239.17
251,251,True,Premium Experience,31543.99,3.97,Auto,58683.82
252,252,False,,0.0,0.0,,0.0
253,253,False,,0.0,0.0,,0.0
254,254,False,,0.0,0.0,,0.0
255,255,False,,0.0,0.0,,0.0
256,256,False,,0.0,0.0,,0.0
257,257,True,Corporate Partner Night,4479.24,2.18,Healthcare,57128.59
258,258,False,,0.0,0.0,,0.0
259,259,False,,0.0,0.0,,0.0
260,260,True,Theme Night,20550.91,6.07,Auto,41843.08
261,261,True,Food Voucher,13200.49,4.79,Beverage,34432.52
262,262,False,,0.0,0.0,,0.0
263,263,False,,0.0,0.0,,0.0
264,264,True,Theme Night,16178.73,7.7,Financial,24264.89
265,265,False,,0.0,0.0,,0.0
266,266,False,,0.0,0.0,,0.0
267,267,False,,0.0,0.0,,0.0
268,268,True,Community Night,9136.37,4.69,Retail,41762.92
269,269,True,Student Discount,3139.28,4.69,Healthcare,32273.35
270,270,True,Theme Night,20197.81,7.58,Retail,7101.09
271,271,False,,0.0,0.0,,0.0
272,272,False,,0.0,0.0,,0.0
273,273,False,,0.0,0.0,,0.0
274,274,False,,0.0,0.0,,0.0
275,275,True,Family Night,8891.22,5.48,Auto,38602.5
276,276,True,Family Night,7101.35,6.42,Beverage,48557.45
277,277,True,Family Night,6963.54,5.4,Tech,68095.39
278,278,True,Merchandise Giveaway,20774.46,8.22,Auto,67173.42
279,279,True,Merchandise Giveaway,23328.15,9.18,Healthcare,69959.3
280,280,False,,0.0,0.0,,0.0
281,281,False,,0.0,0.0,,0.0
282,282,True,Family Night,9003.43,5.52,Retail,11696.77
283,283,False,,0.0,0.0,,0.0
284,284,True,Corporate Partner Night,4471.67,2.64,Healthcare,6541.68
285,285,False,,0.0,0.0,,0.0
286,286,False,,0.0,0.0,,0.0
287,287,True,Theme Night,18418.17,6.28,Financial,24377.12
288,288,False,,0.0,0.0,,0.0
289,289,True,Theme Night,15754.58,6.51,Tech,45598.97
290,290,True,Theme Night,18795.75,7.13,Financial,27895.1
291,291,False,,0.0,0.0,,0.0
292,292,True,Merchandise Giveaway,23239.07,9.16,Tech,49657.22
293,293,True,Corporate Partner Night,5586.12,2.27,Healthcare,46278.38
294,294,False,,0.0,0.0,,0.0
295,295,False,,0.0,0.0,,0.0
296,296,False,,0.0,0.0,,0.0
297,297,True,Food Voucher,12119.99,5.53,Retail,16691.81
298,298,True,Premium Experience,29057.11,4.06,Retail,55787.53
299,299,True,Student Discount,3316.93,4.83,Financial,14631.21
300,300,True,Theme Night,19808.3,7.34,Retail,43425.24
301,301,False,,0.0,0.0,,0.0
302,302,False,,0.0,0.0,,0.0
303,303,False,,0.0,0.0,,0.0
304,304,False,,0.0,0.0,,0.0
305,305,True,Family Night,8018.6,5.49,Financial,51613.7
306,306,False,,0.0,0.0,,0.0
307,307,True,Community Night,8382.43,4.38,Auto,15700.64
308,308,True,Merchandise Giveaway,23373.61,8.62,Auto,36460.95
309,309,False,,0.0,0.0,,0.0
310,310,False,,0.0,0.0,,0.0
311,311,True,Community Night,7976.96,4.88,Auto,56686.16
312,312,False,,0.0,0.0,,0.0
313,313,True,Community Night,8763.72,4.12,Beverage,73575.97
314,314,True,Merchandise Giveaway,24981.8,8.9,Retail,34425.07
315,315,False,,0.0,0.0,,0.0
316,316,True,Theme Night,19818.3,7.24,Auto,33485.41
317,317,False,,0.0,0.0,,0.0
318,318,False,,0.0,0.0,,0.0
319,319,True,Corporate Partner Night,5607.33,2.65,Auto,34447.19
320,320,False,,0.0,0.0,,0.0
321,321,False,,0.0,0.0,,0.0
322,322,False,,0.0,0.0,,0.0
323,323,True,Premium Experience,34305.21,4.31,Beverage,27486.6
324,324,False,,0.0,0.0,,0.0
325,325,True,Family Night,8815.51,5.26,Tech,65083.5
326,326,False,,0.0,0.0,,0.0
327,327,True,Student Discount,3173.42,4.76,Healthcare,37240.09
328,328,True,Corporate Partner Night,4522.26,3.88,Financial,22014.34
329,329,True,Community Night,8077.98,4.87,Auto,50729.7
330,330,False,,0.0,0.0,,0.0
331,331,True,Family Night,7731.86,6.88,Healthcare,7499.23
332,332,True,Community Night,7883.27,4.97,Healthcare,12499.02
333,333,False,,0.0,0.0,,0.0
334,334,False,,0.0,0.0,,0.0
335,335,True,Theme Night,17744.54,6.98,Auto,46710.55
336,336,True,Theme Night,15326.5,6.97,Auto,69611.13
337,337,False,,0.0,0.0,,0.0
338,338,True,Food Voucher,10902.57,4.25,Healthcare,6786.59
339,339,False,,0.0,0.0,,0.0
