game_id,temperature_f,precipitation_flag,snow_flag,severe_weather_flag,weather_condition
1,69.5,False,False,False,Clear
2,55.4,True,False,False,Rain
3,68.1,True,False,False,Rain
4,32.2,False,False,False,Clear
5,35.4,False,False,False,Clear
6,35.1,False,False,False,Clear
7,17.0,False,False,False,Clear
8,30.0,True,True,False,Snow
9,51.5,False,False,False,Clear
10,47.2,False,False,False,Clear
11,29.2,False,False,False,Clear
12,65.3,False,False,False,Clear
13,5.0,True,True,False,Snow
14,50.2,False,False,False,Clear
15,25.0,False,False,False,Clear
16,20.9,True,True,False,Snow
17,21.8,True,True,False,Snow
18,57.2,False,False,False,Clear
19,49.0,False,False,False,Clear
20,41.1,False,False,False,Clear
21,58.4,False,False,False,Clear
22,43.0,False,False,False,Clear
23,44.1,False,False,False,Clear
24,41.7,False,False,False,Clear
25,30.9,False,False,False,Clear
26,44.1,False,False,False,Clear
27,43.6,False,False,False,Clear
28,55.3,False,False,False,Clear
29,30.5,False,False,False,Clear
30,54.2,False,False,False,Clear
31,46.5,False,False,False,Clear
32,35.6,False,False,False,Clear
33,18.3,True,False,True,Severe Storm
34,42.1,False,False,False,Clear
35,35.7,False,False,False,Clear
36,72.3,False,False,False,Clear
37,69.9,False,False,False,Clear
38,36.3,False,False,False,Clear
39,77.9,False,False,False,Clear
40,36.3,False,False,False,Clear
41,26.0,False,False,False,Clear
42,16.7,True,True,False,Snow
43,25.8,False,False,False,Clear
44,12.4,True,True,False,Snow
45,50.3,False,False,False,Clear
46,56.2,True,False,False,Rain
47,14.1,True,True,False,Snow
48,49.0,True,False,False,Rain/Cold
49,59.4,False,False,False,Clear
50,26.6,False,False,False,Clear
51,31.5,False,False,False,Clear
52,28.3,False,False,False,Clear
53,26.2,True,True,False,Snow
54,28.5,False,False,False,Clear
55,34.1,False,False,False,Clear
56,62.4,False,False,False,Clear
57,46.2,False,False,False,Clear
58,53.7,False,False,False,Clear
59,20.4,False,False,False,Clear
60,26.4,False,False,False,Clear
61,25.5,True,True,False,Snow
62,38.6,True,False,False,Rain/Cold
63,26.3,False,False,False,Clear
64,32.2,True,True,False,Snow
65,56.3,False,False,False,Clear
66,39.0,False,False,False,Clear
67,60.5,False,False,False,Clear
68,31.1,False,False,False,Clear
69,5.8,False,False,False,Clear
70,33.7,False,False,False,Clear
71,25.8,False,False,False,Clear
72,5.0,False,False,False,Clear
73,12.4,True,True,False,Snow
74,52.9,False,False,False,Clear
75,72.4,False,False,False,Clear
76,68.7,False,False,False,Clear
77,55.1,False,False,False,Clear
78,35.2,True,False,False,Rain/Cold
79,33.2,False,False,False,Clear
