concession_id,game_id,category,units_sold,avg_unit_price,gross_revenue,estimated_cost,gross_margin,per_cap_spend,recommended_inventory_units
1,1,Food,14815,12.0,177785.38,67558.44,110226.94,10.4,16296
2,1,Beverage,17929,9.0,161367.83,35500.92,125866.91,9.44,19721
3,1,Snacks,14110,6.0,84660.33,25398.1,59262.23,4.95,15521
4,1,Combo Meals,14171,18.0,255086.07,89280.12,165805.95,14.92,15588
5,1,Premium Dining,12116,35.0,424091.09,169636.44,254454.65,24.81,13327
6,2,Food,17177,12.0,206130.29,78329.51,127800.78,10.84,20612
7,2,Beverage,19544,9.0,175900.39,38698.09,137202.3,9.25,23452
8,2,Snacks,16321,6.0,97930.51,29379.15,68551.36,5.15,19585
9,2,Combo Meals,18027,18.0,324490.29,113571.6,210918.69,17.07,21632
10,2,Premium Dining,14683,35.0,513910.71,205564.28,308346.43,27.03,17619
11,3,Food,19016,12.0,228200.59,86716.22,141484.37,11.96,22819
12,3,Beverage,22854,9.0,205691.54,45252.14,160439.4,10.78,27424
13,3,Snacks,17056,6.0,102336.02,30700.81,71635.21,5.36,20467
14,3,Combo Meals,18613,18.0,335041.89,117264.66,217777.23,17.55,22335
15,3,Premium Dining,14672,35.0,513551.34,205420.54,308130.8,26.91,17606
16,4,Food,15595,12.0,187146.34,71115.61,116030.73,10.57,17934
17,4,Beverage,19306,9.0,173754.88,38226.07,135528.81,9.82,22201
18,4,Snacks,17460,6.0,104762.99,31428.9,73334.09,5.92,20079
19,4,Combo Meals,16614,18.0,299065.94,104673.08,194392.86,16.9,19106
20,4,Premium Dining,13324,35.0,466373.23,186549.29,279823.94,26.35,15322
21,5,Food,17278,12.0,207345.63,78791.34,128554.29,10.57,20733
22,5,Beverage,19290,9.0,173616.73,38195.68,135421.05,8.85,23148
23,5,Snacks,17487,6.0,104923.18,31476.95,73446.23,5.35,20984
24,5,Combo Meals,18570,18.0,334274.04,116995.91,217278.13,17.04,22284
25,5,Premium Dining,13906,35.0,486744.71,194697.88,292046.83,24.81,16687
26,6,Food,15856,12.0,190275.94,72304.86,117971.08,10.97,18234
27,6,Beverage,16609,9.0,149488.92,32887.56,116601.36,8.62,19100
28,6,Snacks,13897,6.0,83384.71,25015.41,58369.3,4.81,15981
29,6,Combo Meals,15929,18.0,286730.37,100355.63,186374.74,16.54,18318
30,6,Premium Dining,11731,35.0,410595.79,164238.32,246357.47,23.68,13490
31,7,Food,14222,12.0,170664.39,64852.47,105811.92,10.45,15644
32,7,Beverage,16263,9.0,146370.9,32201.6,114169.3,8.96,17889
33,7,Snacks,14180,6.0,85081.29,25524.39,59556.9,5.21,15598
34,7,Combo Meals,14837,18.0,267071.04,93474.86,173596.18,16.35,16320
35,7,Premium Dining,10616,35.0,371581.59,148632.64,222948.95,22.75,11677
36,8,Food,17059,12.0,204712.36,77790.7,126921.66,11.02,19617
37,8,Beverage,20310,9.0,182795.99,40215.12,142580.87,9.84,23356
38,8,Snacks,16144,6.0,96865.53,29059.66,67805.87,5.22,18565
39,8,Combo Meals,16565,18.0,298183.21,104364.12,193819.09,16.05,19049
40,8,Premium Dining,13428,35.0,470004.5,188001.8,282002.7,25.3,15442
41,9,Food,15217,12.0,182606.47,69390.46,113216.01,10.76,16738
42,9,Beverage,18071,9.0,162641.72,35781.18,126860.54,9.59,19878
43,9,Snacks,14355,6.0,86133.03,25839.91,60293.12,5.08,15790
44,9,Combo Meals,15983,18.0,287706.22,100697.18,187009.04,16.96,17581
45,9,Premium Dining,11812,35.0,413427.17,165370.87,248056.3,24.37,12993
46,10,Food,16667,12.0,200005.88,76002.23,124003.65,11.44,19167
47,10,Beverage,17795,9.0,160155.43,35234.19,124921.24,9.16,20464
48,10,Snacks,14997,6.0,89983.7,26995.11,62988.59,5.14,17246
49,10,Combo Meals,16740,18.0,301333.29,105466.65,195866.64,17.23,19251
50,10,Premium Dining,12832,35.0,449123.83,179649.53,269474.3,25.68,14756
51,11,Food,17263,12.0,207160.65,78721.05,128439.6,11.23,19852
52,11,Beverage,18359,9.0,165236.41,36352.01,128884.4,8.96,21112
53,11,Snacks,15347,6.0,92086.73,27626.02,64460.71,4.99,17649
54,11,Combo Meals,15792,18.0,284267.81,99493.73,184774.08,15.41,18160
55,11,Premium Dining,13451,35.0,470803.81,188321.52,282482.29,25.52,15468
56,12,Food,17438,12.0,209259.68,79518.68,129741.0,11.17,20925
57,12,Beverage,19987,9.0,179887.28,39575.2,140312.08,9.6,23984
58,12,Snacks,16262,6.0,97574.53,29272.36,68302.17,5.21,19514
59,12,Combo Meals,16417,18.0,295508.56,103428.0,192080.56,15.77,19700
60,12,Premium Dining,13388,35.0,468609.94,187443.98,281165.96,25.02,16065
61,13,Food,17744,12.0,212928.06,80912.66,132015.4,10.85,21292
62,13,Beverage,20845,9.0,187607.12,41273.57,146333.55,9.56,25014
63,13,Snacks,18215,6.0,109294.35,32788.3,76506.05,5.57,21858
64,13,Combo Meals,17873,18.0,321727.95,112604.78,209123.17,16.4,21447
65,13,Premium Dining,14495,35.0,507329.98,202931.99,304397.99,25.86,17394
66,14,Food,16748,12.0,200977.38,76371.4,124605.98,11.31,19260
67,14,Beverage,17492,9.0,157428.6,34634.29,122794.31,8.86,20115
68,14,Snacks,15038,6.0,90230.72,27069.22,63161.5,5.08,17293
69,14,Combo Meals,16702,18.0,300653.38,105228.68,195424.7,16.92,19207
70,14,Premium Dining,13024,35.0,455851.42,182340.57,273510.85,25.65,14977
71,15,Food,14788,12.0,177459.39,67434.57,110024.82,10.15,17006
72,15,Beverage,18120,9.0,163085.14,35878.73,127206.41,9.33,20838
73,15,Snacks,14251,6.0,85511.62,25653.49,59858.13,4.89,16388
74,15,Combo Meals,15459,18.0,278262.2,97391.77,180870.43,15.92,17777
75,15,Premium Dining,11524,35.0,403347.81,161339.12,242008.69,23.07,13252
76,16,Food,16026,12.0,192312.76,73078.85,119233.91,10.97,18429
77,16,Beverage,17156,9.0,154404.24,33968.93,120435.31,8.81,19729
78,16,Snacks,15226,6.0,91360.45,27408.14,63952.31,5.21,17509
79,16,Combo Meals,16771,18.0,301894.78,105663.17,196231.61,17.22,19286
80,16,Premium Dining,11889,35.0,416122.8,166449.12,249673.68,23.73,13672
81,17,Food,13413,12.0,160964.91,61166.67,99798.24,10.06,14754
82,17,Beverage,15288,9.0,137600.46,30272.1,107328.36,8.6,16816
83,17,Snacks,12813,6.0,76880.76,23064.23,53816.53,4.8,14094
84,17,Combo Meals,13000,18.0,234017.78,81906.22,152111.56,14.62,14300
85,17,Premium Dining,10836,35.0,379284.16,151713.66,227570.5,23.69,11919
86,18,Food,18727,12.0,224727.07,85396.29,139330.78,11.45,22472
87,18,Beverage,19872,9.0,178850.68,39347.15,139503.53,9.12,23846
88,18,Snacks,18595,6.0,111570.64,33471.19,78099.45,5.69,22314
89,18,Combo Meals,18904,18.0,340274.9,119096.22,221178.68,17.34,22684
90,18,Premium Dining,14173,35.0,496084.84,198433.94,297650.9,25.28,17007
91,19,Food,17969,12.0,215635.33,81941.43,133693.9,10.99,21562
92,19,Beverage,20293,9.0,182639.27,40180.64,142458.63,9.31,24351
93,19,Snacks,16675,6.0,100051.62,30015.49,70036.13,5.1,20010
94,19,Combo Meals,19199,18.0,345585.75,120955.01,224630.74,17.61,23038
95,19,Premium Dining,14520,35.0,508206.78,203282.71,304924.07,25.9,17424
96,20,Food,15298,12.0,183582.7,69761.43,113821.27,10.96,16827
97,20,Beverage,15905,9.0,143153.84,31493.84,111660.0,8.55,17495
98,20,Snacks,14722,6.0,88334.06,26500.22,61833.84,5.27,16194
99,20,Combo Meals,14786,18.0,266156.33,93154.72,173001.61,15.89,16264
100,20,Premium Dining,11130,35.0,389567.54,155827.02,233740.52,23.25,12243
101,21,Food,13830,12.0,165969.01,63068.22,102900.79,10.55,15213
102,21,Beverage,15995,9.0,143956.33,31670.39,112285.94,9.15,17594
103,21,Snacks,12970,6.0,77822.63,23346.79,54475.84,4.95,14267
104,21,Combo Meals,14066,18.0,253196.9,88618.92,164577.98,16.09,15472
105,21,Premium Dining,10125,35.0,354392.45,141756.98,212635.47,22.52,11137
106,22,Food,18974,12.0,227696.29,86524.59,141171.7,11.6,22768
107,22,Beverage,19759,9.0,177831.36,39122.9,138708.46,9.06,23710
108,22,Snacks,16809,6.0,100858.66,30257.6,70601.06,5.14,20170
109,22,Combo Meals,18150,18.0,326716.79,114350.88,212365.91,16.65,21780
110,22,Premium Dining,14268,35.0,499401.25,199760.5,299640.75,25.45,17121
111,23,Food,14551,12.0,174623.28,66356.85,108266.43,10.66,16006
112,23,Beverage,16372,9.0,147352.52,32417.55,114934.97,9.0,18009
113,23,Snacks,14280,6.0,85682.79,25704.84,59977.95,5.23,15708
114,23,Combo Meals,14839,18.0,267106.51,93487.28,173619.23,16.31,16322
115,23,Premium Dining,12073,35.0,422579.37,169031.75,253547.62,25.8,13280
116,24,Food,17658,12.0,211907.63,80524.9,131382.73,11.25,21189
117,24,Beverage,18997,9.0,170977.3,37615.01,133362.29,9.08,22796
118,24,Snacks,16632,6.0,99794.91,29938.47,69856.44,5.3,19958
119,24,Combo Meals,17423,18.0,313627.3,109769.56,203857.74,16.65,20907
120,24,Premium Dining,13752,35.0,481343.92,192537.57,288806.35,25.55,16502
121,25,Food,17238,12.0,206867.92,78609.81,128258.11,11.33,19823
122,25,Beverage,17879,9.0,160913.09,35400.88,125512.21,8.81,20560
123,25,Snacks,14802,6.0,88814.11,26644.23,62169.88,4.87,17022
124,25,Combo Meals,15254,18.0,274589.69,96106.39,178483.3,15.04,17542
125,25,Premium Dining,12335,35.0,431736.91,172694.76,259042.15,23.65,14185
126,26,Food,14347,12.0,172164.38,65422.46,106741.92,10.04,15781
127,26,Beverage,16054,9.0,144488.23,31787.41,112700.82,8.42,17659
128,26,Snacks,14026,6.0,84158.26,25247.48,58910.78,4.91,15428
129,26,Combo Meals,14395,18.0,259127.31,90694.56,168432.75,15.11,15834
130,26,Premium Dining,11906,35.0,416743.53,166697.41,250046.12,24.3,13096
131,27,Food,14045,12.0,168551.23,64049.47,104501.76,10.27,15449
132,27,Beverage,15722,9.0,141498.89,31129.76,110369.13,8.62,17294
133,27,Snacks,13682,6.0,82096.27,24628.88,57467.39,5.0,15050
134,27,Combo Meals,14227,18.0,256097.09,89633.98,166463.11,15.61,15649
135,27,Premium Dining,11873,35.0,415586.9,166234.76,249352.14,25.32,13060
136,28,Food,19682,12.0,236190.99,89752.58,146438.41,12.04,23618
137,28,Beverage,23077,9.0,207701.49,45694.33,162007.16,10.59,27692
138,28,Snacks,17592,6.0,105555.48,31666.64,73888.84,5.38,21110
139,28,Combo Meals,21153,18.0,380760.33,133266.12,247494.21,19.41,25383
140,28,Premium Dining,15768,35.0,551881.36,220752.54,331128.82,28.13,18921
141,29,Food,14965,12.0,179580.18,68240.47,111339.71,11.06,16461
142,29,Beverage,15078,9.0,135708.76,29855.93,105852.83,8.36,16585
143,29,Snacks,13708,6.0,82251.63,24675.49,57576.14,5.07,15078
144,29,Combo Meals,14501,18.0,261026.34,91359.22,169667.12,16.08,15951
145,29,Premium Dining,10632,35.0,372131.79,148852.72,223279.07,22.92,11695
146,30,Food,13482,12.0,161785.34,61478.43,100306.91,10.4,14830
147,30,Beverage,14940,9.0,134467.78,29582.91,104884.87,8.64,16434
148,30,Snacks,12777,6.0,76665.27,22999.58,53665.69,4.93,14054
149,30,Combo Meals,12966,18.0,233401.75,81690.61,151711.14,15.0,14262
150,30,Premium Dining,10165,35.0,355800.82,142320.33,213480.49,22.87,11181
151,31,Food,13265,12.0,159182.84,60489.48,98693.36,10.64,14591
152,31,Beverage,13499,9.0,121493.73,26728.62,94765.11,8.12,14848
153,31,Snacks,11442,6.0,68654.84,20596.45,48058.39,4.59,12586
154,31,Combo Meals,12089,18.0,217602.76,76160.97,141441.79,14.54,13297
155,31,Premium Dining,10384,35.0,363466.57,145386.63,218079.94,24.29,11422
156,32,Food,16970,12.0,203651.72,77387.65,126264.07,11.11,19515
157,32,Beverage,18889,9.0,170006.45,37401.42,132605.03,9.27,21722
158,32,Snacks,15962,6.0,95775.13,28732.54,67042.59,5.22,18356
159,32,Combo Meals,16932,18.0,304780.13,106673.05,198107.08,16.62,19471
160,32,Premium Dining,14286,35.0,500033.43,200013.37,300020.06,27.28,16428
161,33,Food,15288,12.0,183458.74,69714.32,113744.42,10.68,16816
162,33,Beverage,17256,9.0,155307.78,34167.71,121140.07,9.04,18981
163,33,Snacks,14293,6.0,85762.36,25728.71,60033.65,4.99,15722
164,33,Combo Meals,15308,18.0,275549.22,96442.23,179106.99,16.04,16838
165,33,Premium Dining,12882,35.0,450894.48,180357.79,270536.69,26.25,14170
166,34,Food,19900,12.0,238800.35,90744.13,148056.22,12.17,23880
167,34,Beverage,22296,9.0,200667.39,44146.83,156520.56,10.23,26755
168,34,Snacks,17289,6.0,103738.78,31121.63,72617.15,5.29,20746
169,34,Combo Meals,20054,18.0,360987.6,126345.66,234641.94,18.4,24064
170,34,Premium Dining,14516,35.0,508089.63,203235.85,304853.78,25.9,17419
171,35,Food,17120,12.0,205447.98,78070.23,127377.75,11.3,19688
172,35,Beverage,18111,9.0,163001.06,35860.23,127140.83,8.97,20827
173,35,Snacks,14756,6.0,88536.22,26560.87,61975.35,4.87,16969
174,35,Combo Meals,15729,18.0,283137.08,99097.98,184039.1,15.58,18088
175,35,Premium Dining,13313,35.0,465977.23,186390.89,279586.34,25.64,15309
176,36,Food,16721,12.0,200659.63,76250.66,124408.97,10.78,19229
177,36,Beverage,19649,9.0,176848.42,38906.65,137941.77,9.5,22596
178,36,Snacks,15620,6.0,93722.41,28116.72,65605.69,5.03,17963
179,36,Combo Meals,16416,18.0,295500.69,103425.24,192075.45,15.87,18878
180,36,Premium Dining,12864,35.0,450255.64,180102.26,270153.38,24.18,14793
181,37,Food,14950,12.0,179401.63,68172.62,111229.01,11.09,16445
182,37,Beverage,16494,9.0,148452.0,32659.44,115792.56,9.18,18143
183,37,Snacks,14155,6.0,84930.74,25479.22,59451.52,5.25,15570
184,37,Combo Meals,14672,18.0,264100.81,92435.28,171665.53,16.32,16139
185,37,Premium Dining,11808,35.0,413297.56,165319.02,247978.54,25.55,12988
186,38,Food,18176,12.0,218115.85,82884.02,135231.83,11.33,21811
187,38,Beverage,20964,9.0,188678.48,41509.27,147169.21,9.8,25156
188,38,Snacks,16437,6.0,98625.09,29587.53,69037.56,5.12,19724
189,38,Combo Meals,17753,18.0,319565.01,111847.75,207717.26,16.6,21303
190,38,Premium Dining,15098,35.0,528439.6,211375.84,317063.76,27.45,18117
191,39,Food,17727,12.0,212735.1,80839.34,131895.76,10.84,21272
192,39,Beverage,19487,9.0,175385.89,38584.9,136800.99,8.94,23384
193,39,Snacks,18391,6.0,110351.6,33105.48,77246.12,5.62,22069
194,39,Combo Meals,19221,18.0,345985.31,121094.86,224890.45,17.63,23065
