merchandise_id,game_id,category,units_sold,avg_unit_price,gross_revenue,estimated_cost,gross_margin,per_cap_spend,recommended_inventory_units
1,1,Jerseys,1134,110.0,124810.88,52420.57,72390.31,7.3,1247
2,1,Hats,2959,32.0,94700.67,33145.23,61555.44,5.54,3254
3,1,T-Shirts,3682,28.0,103109.78,32995.13,70114.65,6.03,4050
4,1,Collectibles,1300,45.0,58518.28,22236.95,36281.33,3.42,1430
5,1,Game-Day Specials,2802,20.0,56056.05,16816.81,39239.24,3.28,3082
6,2,Jerseys,1406,110.0,154692.52,64970.86,89721.66,8.14,1687
7,2,Hats,3623,32.0,115963.87,40587.35,75376.52,6.1,4347
8,2,T-Shirts,4153,28.0,116290.32,37212.9,79077.42,6.12,4983
9,2,Collectibles,1693,45.0,76220.55,28963.81,47256.74,4.01,2031
10,2,Game-Day Specials,3470,20.0,69415.19,20824.56,48590.63,3.65,4164
11,3,Jerseys,1309,110.0,144005.69,60482.39,83523.3,7.54,1570
12,3,Hats,3641,32.0,116518.69,40781.54,75737.15,6.1,4369
13,3,T-Shirts,4136,28.0,115821.29,37062.81,78758.48,6.07,4963
14,3,Collectibles,1649,45.0,74237.96,28210.42,46027.54,3.89,1978
15,3,Game-Day Specials,3123,20.0,62462.22,18738.67,43723.55,3.27,3747
16,4,Jerseys,1277,110.0,140554.07,59032.71,81521.36,7.94,1468
17,4,Hats,3161,32.0,101154.44,35404.05,65750.39,5.72,3635
18,4,T-Shirts,3701,28.0,103655.94,33169.9,70486.04,5.86,4256
19,4,Collectibles,1419,45.0,63862.42,24267.72,39594.7,3.61,1631
20,4,Game-Day Specials,2759,20.0,55185.93,16555.78,38630.15,3.12,3172
21,5,Jerseys,1393,110.0,153289.01,64381.38,88907.63,7.81,1671
22,5,Hats,3733,32.0,119468.71,41814.05,77654.66,6.09,4479
23,5,T-Shirts,4323,28.0,121058.25,38738.64,82319.61,6.17,5187
24,5,Collectibles,1762,45.0,79313.77,30139.23,49174.54,4.04,2114
25,5,Game-Day Specials,3304,20.0,66096.74,19829.02,46267.72,3.37,3964
26,6,Jerseys,1252,110.0,137828.83,57888.11,79940.72,7.95,1439
27,6,Hats,3189,32.0,102053.82,35718.84,66334.98,5.89,3667
28,6,T-Shirts,3848,28.0,107761.44,34483.66,73277.78,6.21,4425
29,6,Collectibles,1367,45.0,61559.59,23392.64,38166.95,3.55,1572
30,6,Game-Day Specials,2813,20.0,56279.83,16883.95,39395.88,3.25,3234
31,7,Jerseys,1092,110.0,120184.77,50477.6,69707.17,7.36,1201
32,7,Hats,2782,32.0,89024.27,31158.49,57865.78,5.45,3060
33,7,T-Shirts,3567,28.0,99880.59,31961.79,67918.8,6.12,3923
34,7,Collectibles,1290,45.0,58079.26,22070.12,36009.14,3.56,1419
35,7,Game-Day Specials,2826,20.0,56523.42,16957.03,39566.39,3.46,3108
36,8,Jerseys,1417,110.0,155921.7,65487.11,90434.59,8.39,1629
37,8,Hats,3421,32.0,109483.94,38319.38,71164.56,5.89,3934
38,8,T-Shirts,4144,28.0,116039.78,37132.73,78907.05,6.25,4765
39,8,Collectibles,1570,45.0,70688.88,26861.77,43827.11,3.81,1805
40,8,Game-Day Specials,3054,20.0,61089.57,18326.87,42762.7,3.29,3512
41,9,Jerseys,1202,110.0,132276.79,55556.25,76720.54,7.8,1322
42,9,Hats,3066,32.0,98130.73,34345.76,63784.97,5.78,3372
43,9,T-Shirts,3553,28.0,99499.05,31839.7,67659.35,5.86,3908
44,9,Collectibles,1395,45.0,62789.14,23859.87,38929.27,3.7,1534
45,9,Game-Day Specials,2723,20.0,54470.41,16341.12,38129.29,3.21,2995
46,10,Jerseys,1182,110.0,130089.98,54637.79,75452.19,7.44,1359
47,10,Hats,3231,32.0,103392.66,36187.43,67205.23,5.91,3715
48,10,T-Shirts,4026,28.0,112745.24,36078.48,76666.76,6.45,4629
49,10,Collectibles,1432,45.0,64453.04,24492.16,39960.88,3.69,1646
50,10,Game-Day Specials,3029,20.0,60596.18,18178.85,42417.33,3.46,3483
51,11,Jerseys,1258,110.0,138484.31,58163.41,80320.9,7.51,1446
52,11,Hats,3350,32.0,107209.7,37523.39,69686.31,5.81,3852
53,11,T-Shirts,4066,28.0,113874.67,36439.89,77434.78,6.17,4675
54,11,Collectibles,1559,45.0,70182.84,26669.48,43513.36,3.8,1792
55,11,Game-Day Specials,3084,20.0,61682.33,18504.7,43177.63,3.34,3546
56,12,Jerseys,1337,110.0,147109.08,61785.81,85323.27,7.85,1604
57,12,Hats,3261,32.0,104355.98,36524.59,67831.39,5.57,3913
58,12,T-Shirts,4059,28.0,113676.9,36376.61,77300.29,6.07,4870
59,12,Collectibles,1578,45.0,71027.7,26990.53,44037.17,3.79,1893
60,12,Game-Day Specials,3306,20.0,66135.88,19840.76,46295.12,3.53,3967
61,13,Jerseys,1444,110.0,158896.32,66736.45,92159.87,8.1,1732
62,13,Hats,3474,32.0,111175.25,38911.34,72263.91,5.67,4168
63,13,T-Shirts,4602,28.0,128875.14,41240.04,87635.1,6.57,5522
64,13,Collectibles,1640,45.0,73833.74,28056.82,45776.92,3.76,1968
65,13,Game-Day Specials,3477,20.0,69547.97,20864.39,48683.58,3.54,4172
66,14,Jerseys,1197,110.0,131682.21,55306.53,76375.68,7.41,1376
67,14,Hats,3079,32.0,98535.95,34487.58,64048.37,5.54,3540
68,14,T-Shirts,3946,28.0,110502.88,35360.92,75141.96,6.22,4537
69,14,Collectibles,1397,45.0,62896.05,23900.5,38995.55,3.54,1606
70,14,Game-Day Specials,2999,20.0,59985.88,17995.76,41990.12,3.38,3448
71,15,Jerseys,1291,110.0,142042.55,59657.87,82384.68,8.12,1484
72,15,Hats,3069,32.0,98212.74,34374.46,63838.28,5.62,3529
73,15,T-Shirts,3833,28.0,107350.52,34352.17,72998.35,6.14,4407
74,15,Collectibles,1417,45.0,63792.7,24241.23,39551.47,3.65,1629
75,15,Game-Day Specials,3020,20.0,60411.74,18123.52,42288.22,3.46,3472
76,16,Jerseys,1171,110.0,128816.13,54102.77,74713.36,7.35,1346
77,16,Hats,3077,32.0,98468.96,34464.14,64004.82,5.62,3538
78,16,T-Shirts,4015,28.0,112431.73,35978.15,76453.58,6.41,4617
79,16,Collectibles,1430,45.0,64355.24,24454.99,39900.25,3.67,1644
80,16,Game-Day Specials,3002,20.0,60058.19,18017.46,42040.73,3.43,3452
81,17,Jerseys,1107,110.0,121775.38,51145.66,70629.72,7.61,1217
82,17,Hats,2851,32.0,91239.64,31933.87,59305.77,5.7,3136
83,17,T-Shirts,3344,28.0,93644.45,29966.22,63678.23,5.85,3678
84,17,Collectibles,1306,45.0,58811.92,22348.53,36463.39,3.67,1436
85,17,Game-Day Specials,2644,20.0,52891.27,15867.38,37023.89,3.3,2908
86,18,Jerseys,1355,110.0,149147.15,62641.8,86505.35,7.6,1626
87,18,Hats,3496,32.0,111895.28,39163.35,72731.93,5.7,4195
88,18,T-Shirts,4605,28.0,128955.34,41265.71,87689.63,6.57,5526
89,18,Collectibles,1718,45.0,77329.05,29385.04,47944.01,3.94,2061
90,18,Game-Day Specials,3379,20.0,67580.02,20274.01,47306.01,3.44,4054
91,19,Jerseys,1450,110.0,159583.03,67024.87,92558.16,8.13,1740
92,19,Hats,3991,32.0,127729.4,44705.29,83024.11,6.51,4789
93,19,T-Shirts,4913,28.0,137582.82,44026.5,93556.32,7.01,5895
94,19,Collectibles,1774,45.0,79860.41,30346.96,49513.45,4.07,2128
95,19,Game-Day Specials,3802,20.0,76059.49,22817.85,53241.64,3.88,4562
96,20,Jerseys,1179,110.0,129793.01,54513.06,75279.95,7.75,1296
97,20,Hats,3016,32.0,96535.34,33787.37,62747.97,5.76,3317
98,20,T-Shirts,3832,28.0,107302.39,34336.76,72965.63,6.41,4215
