ticket_sale_id,game_id,segment_id,segment_name,tickets_available,tickets_sold,avg_ticket_price,discount_pct,gross_ticket_revenue,net_ticket_revenue,sell_through_rate
1,1,1,Premium Courtside,588,521,455.54,3.5,237336.34,234844.19,88.65
2,1,2,Lower Bowl,2746,2319,188.84,1.86,437919.96,435470.38,84.46
3,1,3,Club Level,1569,1569,226.57,0.1,355488.33,355383.27,100.0
4,1,4,Upper Bowl,5886,5273,63.21,11.24,333306.33,322071.64,89.59
5,1,5,Family Pack,2354,2023,51.08,19.74,103334.84,97215.57,85.98
6,1,6,Student Promo,1569,1359,25.86,32.7,35143.74,31696.19,86.63
7,1,7,Group Sales,1962,1838,74.16,0.08,136306.08,136274.05,93.71
8,1,8,Season Ticket,1962,1860,136.43,10.84,253759.8,245505.75,94.84
9,1,9,Corporate Partner Allocation,981,918,314.57,3.03,288775.26,286153.05,93.65
10,2,1,Premium Courtside,588,588,466.43,3.46,274260.84,271414.38,100.0
11,2,2,Lower Bowl,2746,2746,189.24,6.03,519653.04,510249.56,100.0
12,2,3,Club Level,1569,1558,228.21,3.31,355551.18,352022.45,99.31
13,2,4,Upper Bowl,5886,5886,67.24,3.85,395774.64,391202.7,100.0
14,2,5,Family Pack,2354,2354,53.18,16.65,125185.72,118931.77,100.0
15,2,6,Student Promo,1569,1538,26.7,31.21,41064.6,37219.46,98.08
16,2,7,Group Sales,1962,1908,75.35,1.56,143767.8,143096.59,97.26
17,2,8,Season Ticket,1962,1842,141.13,8.85,259961.46,253057.07,93.91
18,2,9,Corporate Partner Allocation,981,981,323.74,1.97,317588.94,315707.89,100.0
19,3,1,Premium Courtside,588,588,466.66,3.54,274396.08,271483.21,100.0
20,3,2,Lower Bowl,2746,2618,184.98,10.58,484277.64,468909.85,95.37
21,3,3,Club Level,1569,1569,229.27,2.57,359724.63,356955.19,100.0
22,3,4,Upper Bowl,5886,5886,66.74,5.49,392831.64,386357.5,100.0
23,3,5,Family Pack,2354,2354,52.68,18.53,124008.72,117115.4,100.0
24,3,6,Student Promo,1569,1562,26.8,30.76,41861.6,37998.35,99.57
25,3,7,Group Sales,1962,1962,72.04,10.45,141342.48,136913.13,100.0
26,3,8,Season Ticket,1962,1962,144.87,3.97,284234.94,280851.15,100.0
27,3,9,Corporate Partner Allocation,981,981,327.24,0.01,321022.44,321009.26,100.0
28,4,1,Premium Courtside,588,576,455.58,4.93,262414.08,258531.7,98.06
29,4,2,Lower Bowl,2746,2474,184.16,8.2,455611.84,444410.58,90.12
30,4,3,Club Level,1569,1456,224.19,3.65,326420.64,322846.83,92.81
31,4,4,Upper Bowl,5886,5518,66.09,4.09,364684.62,360210.72,93.75
32,4,5,Family Pack,2354,2354,50.21,24.09,118194.34,109651.27,100.0
33,4,6,Student Promo,1569,1569,25.92,33.53,40668.48,36577.77,100.0
34,4,7,Group Sales,1962,1899,73.29,3.88,139177.71,137559.36,96.84
35,4,8,Season Ticket,1962,1843,139.6,7.88,257282.8,251204.34,93.94
36,4,9,Corporate Partner Allocation,981,935,319.17,1.62,298423.95,296969.76,95.34
37,5,1,Premium Courtside,588,588,470.93,3.01,276906.84,274408.34,100.0
38,5,2,Lower Bowl,2746,2746,185.73,11.02,510014.58,493157.66,100.0
39,5,3,Club Level,1569,1569,229.19,3.9,359599.11,355394.31,100.0
40,5,4,Upper Bowl,5886,5886,65.7,9.75,386710.2,375399.0,100.0
41,5,5,Family Pack,2354,2354,53.31,17.55,125491.74,118882.86,100.0
42,5,6,Student Promo,1569,1569,26.17,35.78,41060.73,36653.15,100.0
43,5,7,Group Sales,1962,1962,73.65,7.46,144501.3,141269.23,100.0
44,5,8,Season Ticket,1962,1962,148.0,1.01,290376.0,289496.62,100.0
45,5,9,Corporate Partner Allocation,981,981,321.66,4.68,315548.46,311115.71,100.0
46,6,1,Premium Courtside,588,588,458.54,2.79,269621.52,267361.27,100.0
47,6,2,Lower Bowl,2746,2460,181.42,10.22,446293.2,432611.85,89.59
48,6,3,Club Level,1569,1569,225.66,1.49,354060.54,352481.71,100.0
49,6,4,Upper Bowl,5886,5682,63.34,11.41,359897.88,347574.15,96.53
50,6,5,Family Pack,2354,2158,52.46,15.41,113208.68,107975.86,91.7
51,6,6,Student Promo,1569,1539,25.31,36.74,38952.09,34659.23,98.12
52,6,7,Group Sales,1962,1901,71.46,7.92,135845.46,132617.69,96.92
53,6,8,Season Ticket,1962,1795,136.31,11.57,244676.45,236180.52,91.5
54,6,9,Corporate Partner Allocation,981,975,316.15,2.63,308246.25,305817.48,99.48
55,7,1,Premium Courtside,588,545,450.49,3.82,245517.05,242704.81,92.71
56,7,2,Lower Bowl,2746,2447,187.97,0.88,459962.59,458744.6,89.14
57,7,3,Club Level,1569,1381,221.65,2.57,306098.65,303742.18,88.02
58,7,4,Upper Bowl,5886,4828,62.93,10.27,303826.04,294465.67,82.03
59,7,5,Family Pack,2354,2161,50.86,18.78,109908.46,103715.31,91.82
60,7,6,Student Promo,1569,1363,25.58,32.9,34865.54,31424.33,86.87
61,7,7,Group Sales,1962,1820,71.93,4.23,130912.6,129249.98,92.8
62,7,8,Season Ticket,1962,1732,140.37,3.51,243120.84,240557.2,88.33
63,7,9,Corporate Partner Allocation,981,979,310.78,3.54,304253.62,301024.51,99.87
64,8,1,Premium Courtside,588,588,460.79,4.8,270944.52,267040.19,100.0
65,8,2,Lower Bowl,2746,2601,185.59,8.77,482719.59,470018.41,94.75
66,8,3,Club Level,1569,1569,227.18,3.15,356445.42,353076.0,100.0
67,8,4,Upper Bowl,5886,5818,67.96,0.69,395391.28,394578.41,98.86
68,8,5,Family Pack,2354,2354,52.67,17.44,123985.18,117499.28,100.0
69,8,6,Student Promo,1569,1467,25.72,36.55,37731.24,33593.82,93.54
70,8,7,Group Sales,1962,1843,71.57,10.52,131903.51,127741.11,93.95
71,8,8,Season Ticket,1962,1799,143.17,5.05,257562.83,253659.89,91.74
72,8,9,Corporate Partner Allocation,981,981,318.06,4.42,312016.86,307883.0,100.0
73,9,1,Premium Courtside,588,584,459.85,1.32,268552.4,267487.02,99.44
74,9,2,Lower Bowl,2746,2422,183.04,7.64,443322.88,433165.69,88.23
75,9,3,Club Level,1569,1569,224.01,2.03,351471.69,349329.01,100.0
76,9,4,Upper Bowl,5886,5659,63.99,8.61,362119.41,352761.35,96.16
77,9,5,Family Pack,2354,2215,52.0,16.19,115180.0,109584.32,94.1
